id;text
1440780474662543370;@BillyM2k Super important for Doge fees to drop to make things like buying movie tix viable
1416441034469527556;@AshleyIllusion1 @lexfridman Lil X is hodling his Doge like a champ. Literally never said the word “sell” even once!
1413396249546563586;"@MattWallace888 BTC &amp; ETH are pursuing a multilayer transaction system, but base layer transaction rate is slow &amp; transaction cost is high.

There is merit imo to Doge maximizing base layer transaction rate &amp; minimizing transaction cost with exchanges acting as the de facto secondary layer."
1396926365996261382;Someone suggested changing Dogecoin fees based on phases of the moon, which is pretty awesome haha
1395437522306490371;@heydave7 A longtime Tesla supporter gave me the Doge dollar sticker at Giga Berlin
1395328697436033032;How much is that Doge in the window? https://t.co/bxTkWOr50V
1393999022948487169;@elonmusk @PeterMcCormack I double Doge dare you to do it!
1393749019478970368;@long_elon @itsALLrisky Only if Doge can’t do it. Big pain in the neck to create another one.
1393738154889338884;"@itsALLrisky Ideally, Doge speeds up block time 10X, increases block size 10X &amp; drops fee 100X. Then it wins hands down."
1392974251011895300;Working with Doge devs to improve system transaction efficiency. Potentially promising.
1390809878034321413;"Wall Street: Dogecoin is overvalued!

Also Wall Street: Look at this single location deli that we have valued at $2 billion!

More Wall Street: Here is a pre-product, pre-revenue battery company at $18 billion!

Don't fall for the nonsense. The stock market is full of shitcoins."
1389978754013749248;All #TRX, #BTT #WIN #JST #SUN holders will get #Dogecoin reward by #defi mining in #TRON. https://t.co/nCPYQK55Pb
1389976610384728070;"#TRON will become the first #Defi blockchain protocol to support #dogecoin. You can deposit$trade Dogecoin with #USDT and earn interest on https://t.co/Y2sDxbLmiR &amp; https://t.co/AzvfhEjc3G. Doge on #TRX swap will be supported by @Poloniex.  @elonmusk @dogecoin #doge"
1389910516735397888;"LMAO dogecoin eventually hit $0.69

We live in a simulation."
1382551451185131522;@WSBChairman Doge Barking at the Moon – Miro https://t.co/1vTM2XOusy
1377567762919292938;SpaceX is going to put a literal Dogecoin on the literal moon
1370883943143251968;"Origin of Doge Day Afternoon:
The ancient Romans sacrificed a Dogecoin at the beginning of the Doge Days to appease the rage of Sirius, believing that the star was the cause of the hot, sultry weather."
1359519541219500033;Bought some Dogecoin for lil X, so he can be a toddler hodler
1358648653573992450;"@itsALLrisky Doge appears to be inflationary, but is not meaningfully so (fixed # of coins per unit time), whereas BTC is arguably deflationary to a fault.

Transaction speed of Doge should ideally be a few orders of magnitude faster."
1358588792798670849;"LMAO @PeterSchiff is now claiming that Dogecoin is going to disrupt Bitcoin.

You can’t make this stuff up."
1358542364948668418;🎶 Who let the Doge out 🎶
1357327411059322880;#DOGE is man and woman's best friend
1357326329755148288;I’m a #DOGE lover
